Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
-1773298522692772,00000714,false,Rx,0,8,02,3E,00,FF,FF,FF,FF,FF,
-1773298522456710,00000714,false,Rx,0,8,02,3E,00,FF,FF,FF,FF,FF,
-1773298522201748,00000714,false,Rx,0,8,02,10,03,FF,FF,FF,FF,FF,
-1773298521939762,00000714,false,Rx,0,8,02,10,03,FF,FF,FF,FF,FF,
-1773298521054798,00000712,false,Rx,0,8,02,3E,00,FF,FF,FF,FF,FF,
-1773298521022803,00000712,false,Rx,0,8,02,10,03,FF,FF,FF,FF,FF,
-1773298520916773,00000712,false,Rx,0,8,10,09,2E,F1,98,0A,2C,2F,
-1773298520910462,00000712,false,Rx,0,8,21,CF,86,9F,FF,FF,FF,FF,
-1773298520796771,00000712,false,Rx,0,8,06,2E,F1,99,26,03,12,FF,
-1773298520694752,00000712,false,Rx,0,8,03,22,F1,9E,FF,FF,FF,FF,
-1773298520685015,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298520569811,00000712,false,Rx,0,8,03,22,F1,A2,FF,FF,FF,FF,
-1773298520560014,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298520452774,00000712,false,Rx,0,8,03,22,F1,87,FF,FF,FF,FF,
-1773298520444002,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298520333755,00000712,false,Rx,0,8,03,22,F1,89,FF,FF,FF,FF,
-1773298520231756,00000712,false,Rx,0,8,03,22,F1,91,FF,FF,FF,FF,
-1773298520220014,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298520102635,00000712,false,Rx,0,8,03,22,F1,A3,FF,FF,FF,FF,
-1773298519992706,00000712,false,Rx,0,8,03,22,F1,A5,FF,FF,FF,FF,
-1773298519985014,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298519872748,00000712,false,Rx,0,8,03,22,F1,97,FF,FF,FF,FF,
-1773298519865009,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298519748403,00000712,false,Rx,0,8,03,22,F1,7C,FF,FF,FF,FF,
-1773298519740004,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298519632841,00000712,false,Rx,0,8,03,22,F1,DF,FF,FF,FF,FF,
-1773298519533847,00000712,false,Rx,0,8,03,22,06,00,FF,FF,FF,FF,
-1773298519427816,00000712,false,Rx,0,8,03,22,F1,A0,FF,FF,FF,FF,
-1773298519420104,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298519307855,00000712,false,Rx,0,8,03,22,F1,A1,FF,FF,FF,FF,
-1773298519206838,00000712,false,Rx,0,8,03,22,F1,A4,FF,FF,FF,FF,
-1773298519200104,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298519082847,00000712,false,Rx,0,8,03,22,F1,90,FF,FF,FF,FF,
-1773298519075103,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298518601916,00000712,false,Rx,0,8,03,22,06,00,FF,FF,FF,FF,
