Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
-1773298471024344,00000712,false,Rx,0,8,03,22,F1,99,FF,FF,FF,FF,
-1773298470942314,00000712,false,Rx,0,8,06,2E,F1,99,26,03,12,FF,
-1773298470842465,00000712,false,Rx,0,8,10,09,2E,F1,98,00,06,40,
-1773298470834199,00000712,false,Rx,0,8,21,7C,17,A2,FF,FF,FF,FF,
-1773298470718308,00000712,false,Rx,0,8,07,2E,06,00,85,1F,00,00,
-1773298470409382,00000712,false,Rx,0,8,03,22,F1,9E,FF,FF,FF,FF,
-1773298470398865,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298470291422,00000712,false,Rx,0,8,03,22,F1,A2,FF,FF,FF,FF,
-1773298470283865,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298470168403,00000712,false,Rx,0,8,03,22,F1,87,FF,FF,FF,FF,
-1773298470158874,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298470051329,00000712,false,Rx,0,8,03,22,F1,89,FF,FF,FF,FF,
-1773298469951337,00000712,false,Rx,0,8,03,22,F1,91,FF,FF,FF,FF,
-1773298469943870,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298469833286,00000712,false,Rx,0,8,03,22,F1,A3,FF,FF,FF,FF,
-1773298469733304,00000712,false,Rx,0,8,03,22,F1,A5,FF,FF,FF,FF,
-1773298469723861,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298469606329,00000712,false,Rx,0,8,03,22,F1,97,FF,FF,FF,FF,
-1773298469598860,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298469488365,00000712,false,Rx,0,8,03,22,F1,7C,FF,FF,FF,FF,
-1773298469478868,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298469369275,00000712,false,Rx,0,8,03,22,F1,DF,FF,FF,FF,FF,
-1773298469264283,00000712,false,Rx,0,8,03,22,06,00,FF,FF,FF,FF,
-1773298469164282,00000712,false,Rx,0,8,03,22,F1,A0,FF,FF,FF,FF,
-1773298469153756,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298469047291,00000712,false,Rx,0,8,03,22,F1,A1,FF,FF,FF,FF,
-1773298468944154,00000712,false,Rx,0,8,03,22,F1,A4,FF,FF,FF,FF,
-1773298468933759,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
