Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
-1773298534198222,00000712,false,Rx,0,8,03,22,F1,87,FF,FF,FF,FF,
-1773298534187515,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298533912424,00000712,false,Rx,0,8,03,22,F1,89,FF,FF,FF,FF,
-1773298533652255,00000712,false,Rx,0,8,03,22,F1,91,FF,FF,FF,FF,
-1773298533642616,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298533366406,00000712,false,Rx,0,8,03,22,F1,A3,FF,FF,FF,FF,
-1773298533102509,00000712,false,Rx,0,8,03,22,F1,9E,FF,FF,FF,FF,
-1773298533092715,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298532823512,00000712,false,Rx,0,8,03,22,F1,A2,FF,FF,FF,FF,
-1773298532812709,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298532533508,00000712,false,Rx,0,8,03,22,F1,A0,FF,FF,FF,FF,
-1773298532522704,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298532233518,00000712,false,Rx,0,8,03,22,F1,A1,FF,FF,FF,FF,
-1773298531973594,00000712,false,Rx,0,8,03,22,F1,AA,FF,FF,FF,FF,
-1773298531962808,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298531697600,00000712,false,Rx,0,8,03,22,F1,DF,FF,FF,FF,FF,
-1773298531437424,00000712,false,Rx,0,8,03,22,F1,97,FF,FF,FF,FF,
-1773298531427805,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298531154593,00000712,false,Rx,0,8,03,22,F1,90,FF,FF,FF,FF,
-1773298531147795,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298530876478,00000712,false,Rx,0,8,03,22,F1,7C,FF,FF,FF,FF,
-1773298530867708,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298530586469,00000712,false,Rx,0,8,03,22,F1,A4,FF,FF,FF,FF,
-1773298530577691,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298530301355,00000712,false,Rx,0,8,03,22,F1,E0,FF,FF,FF,FF,
-1773298530027570,00000712,false,Rx,0,8,03,22,F1,DF,FF,FF,FF,FF,
-1773298529747508,00000712,false,Rx,0,8,03,22,06,00,FF,FF,FF,FF,
