Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
-1773298535835881,00000712,false,Rx,0,8,03,22,02,86,FF,FF,FF,FF,
-1773298535417895,00000712,false,Rx,0,8,03,22,F1,87,FF,FF,FF,FF,
-1773298535406379,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298535121924,00000712,false,Rx,0,8,03,22,F1,89,FF,FF,FF,FF,
-1773298534846889,00000712,false,Rx,0,8,03,22,F1,91,FF,FF,FF,FF,
-1773298534836388,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298534555879,00000712,false,Rx,0,8,03,22,F1,A3,FF,FF,FF,FF,
-1773298534285885,00000712,false,Rx,0,8,03,22,F1,9E,FF,FF,FF,FF,
-1773298534276376,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298534010880,00000712,false,Rx,0,8,03,22,F1,A2,FF,FF,FF,FF,
-1773298534001372,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298533734866,00000712,false,Rx,0,8,03,22,F1,A0,FF,FF,FF,FF,
-1773298533726367,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298533452875,00000712,false,Rx,0,8,03,22,F1,A1,FF,FF,FF,FF,
-1773298533191854,00000712,false,Rx,0,8,03,22,F1,AA,FF,FF,FF,FF,
-1773298533180353,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298532907858,00000712,false,Rx,0,8,03,22,F1,DF,FF,FF,FF,FF,
-1773298532622834,00000712,false,Rx,0,8,03,22,F1,97,FF,FF,FF,FF,
-1773298532611367,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298532330841,00000712,false,Rx,0,8,03,22,F1,90,FF,FF,FF,FF,
-1773298532321362,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298532054856,00000712,false,Rx,0,8,03,22,F1,7C,FF,FF,FF,FF,
-1773298532046378,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298531765878,00000712,false,Rx,0,8,03,22,F1,A4,FF,FF,FF,FF,
-1773298531756373,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298531479841,00000712,false,Rx,0,8,03,22,F1,E0,FF,FF,FF,FF,
-1773298531187842,00000712,false,Rx,0,8,03,22,F1,DF,FF,FF,FF,FF,
-1773298530912808,00000712,false,Rx,0,8,03,22,06,00,FF,FF,FF,FF,
-1773298530127835,00000712,false,Rx,0,8,03,19,02,04,FF,FF,FF,FF,
-1773298529859823,00000712,false,Rx,0,8,03,19,02,08,FF,FF,FF,FF,
-1773298529851380,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298529539822,00000712,false,Rx,0,8,03,19,02,20,FF,FF,FF,FF,
-1773298529234834,00000712,false,Rx,0,8,06,19,06,00,3E,01,FF,FF,
-1773298529226370,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298528891781,00000712,false,Rx,0,8,06,19,06,00,49,00,FF,FF,
-1773298528881350,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
