Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
-1773298529682310,00000712,false,Rx,0,8,02,10,03,FF,FF,FF,FF,FF,
-1773298529076295,00000712,false,Rx,0,8,02,27,03,FF,FF,FF,FF,FF,
-1773298528680299,00000712,false,Rx,0,8,06,27,04,18,DD,1F,18,FF,
-1773298528267288,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298528256195,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298527861314,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298527851201,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298527251276,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298527241199,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298526831283,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298526821196,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298526415105,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298526406168,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298526001245,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298525991171,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298525578235,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298525571152,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298525155086,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298525146146,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298524743258,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298524736203,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298524336237,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298524326200,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298523924888,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298523916198,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298523518165,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298523511190,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298523112246,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298523101189,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298522697215,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298522686172,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298522288212,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298522281175,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298521875099,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298521866168,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298521456129,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298521446142,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298521047179,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298521036145,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298520640164,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298520631123,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298520231152,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298520221128,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298519811134,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298519801130,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298519396010,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298519386147,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298518956157,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298518946152,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298518544863,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298518536163,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298518137154,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298518126162,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298517724821,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298517716130,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298517312107,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298517301132,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298516876127,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298516866128,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298516472112,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298516460106,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298516058119,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298516051129,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298515637061,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298515626094,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298515212002,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298515201087,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298514800073,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298514791089,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298514383088,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298514376144,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298513938098,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298513931142,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298513523178,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298513516234,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298513120192,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298513111237,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298512683284,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298512676337,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298512273278,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298512266333,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298511876265,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298511866332,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298511466279,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298511456420,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298511040361,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298511031432,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298510632447,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298510621532,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298510223471,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298510216524,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298509820427,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298509811520,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298509407536,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298509396619,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298508976478,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298508966614,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
