Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
-1773298535112996,00000712,false,Rx,0,8,04,31,01,04,16,FF,FF,FF,
-1773298534698966,00000712,false,Rx,0,8,04,31,03,04,16,FF,FF,FF,
-1773298534153919,00000712,false,Rx,0,8,03,22,18,05,FF,FF,FF,FF,
-1773298533592960,00000712,false,Rx,0,8,03,22,18,05,FF,FF,FF,FF,
-1773298533192926,00000712,false,Rx,0,8,03,22,18,05,FF,FF,FF,FF,
-1773298532793863,00000712,false,Rx,0,8,03,22,18,05,FF,FF,FF,FF,
-1773298532408959,00000712,false,Rx,0,8,03,22,18,05,FF,FF,FF,FF,
-1773298532015956,00000712,false,Rx,0,8,03,22,18,05,FF,FF,FF,FF,
-1773298531608958,00000712,false,Rx,0,8,03,22,18,05,FF,FF,FF,FF,
-1773298531186921,00000712,false,Rx,0,8,03,22,18,05,FF,FF,FF,FF,
-1773298530800900,00000712,false,Rx,0,8,03,22,18,05,FF,FF,FF,FF,
-1773298530417645,00000712,false,Rx,0,8,03,22,18,05,FF,FF,FF,FF,
-1773298530037640,00000712,false,Rx,0,8,03,22,18,05,FF,FF,FF,FF,
-1773298529648879,00000712,false,Rx,0,8,03,22,18,05,FF,FF,FF,FF,
-1773298529177397,00000712,false,Rx,0,8,03,22,18,05,FF,FF,FF,FF,
-1773298528747406,00000712,false,Rx,0,8,03,22,18,05,FF,FF,FF,FF,
-1773298528288866,00000712,false,Rx,0,8,03,22,18,05,FF,FF,FF,FF,
-1773298527814794,00000712,false,Rx,0,8,03,22,18,05,FF,FF,FF,FF,
-1773298527355861,00000712,false,Rx,0,8,03,22,18,05,FF,FF,FF,FF,
-1773298526873873,00000712,false,Rx,0,8,03,22,18,05,FF,FF,FF,FF,
-1773298526417630,00000712,false,Rx,0,8,03,22,18,05,FF,FF,FF,FF,
-1773298525940909,00000712,false,Rx,0,8,03,22,18,05,FF,FF,FF,FF,
-1773298525493896,00000712,false,Rx,0,8,03,22,18,05,FF,FF,FF,FF,
-1773298525005854,00000712,false,Rx,0,8,03,22,18,05,FF,FF,FF,FF,
-1773298524523822,00000712,false,Rx,0,8,03,22,18,05,FF,FF,FF,FF,
-1773298524044917,00000712,false,Rx,0,8,03,22,18,05,FF,FF,FF,FF,
-1773298523594891,00000712,false,Rx,0,8,03,22,18,05,FF,FF,FF,FF,
-1773298523140007,00000712,false,Rx,0,8,03,22,18,05,FF,FF,FF,FF,
-1773298522683010,00000712,false,Rx,0,8,03,22,18,05,FF,FF,FF,FF,
-1773298522194088,00000712,false,Rx,0,8,03,22,18,05,FF,FF,FF,FF,
-1773298521739973,00000712,false,Rx,0,8,03,22,18,05,FF,FF,FF,FF,
-1773298521293991,00000712,false,Rx,0,8,03,22,18,05,FF,FF,FF,FF,
-1773298520826751,00000712,false,Rx,0,8,03,22,18,05,FF,FF,FF,FF,
-1773298520582985,00000712,false,Rx,0,8,03,22,18,05,FF,FF,FF,FF,
-1773298520347679,00000712,false,Rx,0,8,03,22,18,05,FF,FF,FF,FF,
-1773298519885054,00000712,false,Rx,0,8,03,22,18,05,FF,FF,FF,FF,
-1773298519405050,00000712,false,Rx,0,8,03,22,18,05,FF,FF,FF,FF,
-1773298518934146,00000712,false,Rx,0,8,03,22,18,05,FF,FF,FF,FF,
-1773298518466056,00000712,false,Rx,0,8,03,22,18,05,FF,FF,FF,FF,
-1773298517990243,00000712,false,Rx,0,8,03,22,18,05,FF,FF,FF,FF,
-1773298517541064,00000712,false,Rx,0,8,03,22,18,05,FF,FF,FF,FF,
-1773298517273338,00000712,false,Rx,0,8,03,22,18,05,FF,FF,FF,FF,
-1773298517030336,00000712,false,Rx,0,8,03,22,18,05,FF,FF,FF,FF,
-1773298516353242,00000712,false,Rx,0,8,02,3E,00,FF,FF,FF,FF,FF,
-1773298516099450,00000712,false,Rx,0,8,02,3E,00,FF,FF,FF,FF,FF,
-1773298516066445,00000712,false,Rx,0,8,02,10,03,FF,FF,FF,FF,FF,
-1773298515960391,00000712,false,Rx,0,8,10,09,2E,F1,98,0A,2C,2F,
-1773298515949781,00000712,false,Rx,0,8,21,CF,86,9F,FF,FF,FF,FF,
-1773298515826421,00000712,false,Rx,0,8,06,2E,F1,99,26,03,12,FF,
-1773298515706421,00000712,false,Rx,0,8,03,22,F1,9E,FF,FF,FF,FF,
-1773298515699346,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298515589411,00000712,false,Rx,0,8,03,22,F1,A2,FF,FF,FF,FF,
-1773298515579352,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298515470345,00000712,false,Rx,0,8,03,22,F1,87,FF,FF,FF,FF,
-1773298515459350,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298515345420,00000712,false,Rx,0,8,03,22,F1,89,FF,FF,FF,FF,
-1773298515241520,00000712,false,Rx,0,8,03,22,F1,91,FF,FF,FF,FF,
-1773298515234454,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298515124512,00000712,false,Rx,0,8,03,22,F1,A3,FF,FF,FF,FF,
-1773298515019500,00000712,false,Rx,0,8,03,22,F1,A5,FF,FF,FF,FF,
-1773298515009449,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298514897507,00000712,false,Rx,0,8,03,22,F1,97,FF,FF,FF,FF,
-1773298514889444,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298514780467,00000712,false,Rx,0,8,03,22,F1,7C,FF,FF,FF,FF,
-1773298514769456,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298514661514,00000712,false,Rx,0,8,03,22,F1,DF,FF,FF,FF,FF,
-1773298514560490,00000712,false,Rx,0,8,03,22,06,00,FF,FF,FF,FF,
-1773298514427489,00000712,false,Rx,0,8,03,22,F1,A0,FF,FF,FF,FF,
-1773298514418290,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298514307592,00000712,false,Rx,0,8,03,22,F1,A1,FF,FF,FF,FF,
-1773298514057624,00000712,false,Rx,0,8,03,22,F1,A1,FF,FF,FF,FF,
-1773298513820609,00000712,false,Rx,0,8,03,22,F1,A1,FF,FF,FF,FF,
-1773298513512580,00000712,false,Rx,0,8,03,22,F1,A4,FF,FF,FF,FF,
-1773298513237696,00000712,false,Rx,0,8,03,22,F1,A4,FF,FF,FF,FF,
-1773298513005674,00000712,false,Rx,0,8,03,22,F1,A4,FF,FF,FF,FF,
-1773298512590649,00000712,false,Rx,0,8,03,22,18,05,FF,FF,FF,FF,
-1773298512325296,00000712,false,Rx,0,8,03,22,18,05,FF,FF,FF,FF,
-1773298512091560,00000712,false,Rx,0,8,03,22,18,05,FF,FF,FF,FF,
-1773298511390537,00000712,false,Rx,0,8,02,3E,00,FF,FF,FF,FF,FF,
-1773298511155267,00000712,false,Rx,0,8,02,3E,00,FF,FF,FF,FF,FF,
-1773298510896211,00000712,false,Rx,0,8,02,10,03,FF,FF,FF,FF,FF,
-1773298510652425,00000712,false,Rx,0,8,02,10,03,FF,FF,FF,FF,FF,
-1773298510081312,00000712,false,Rx,0,8,03,22,18,05,FF,FF,FF,FF,
-1773298509620285,00000712,false,Rx,0,8,03,22,18,05,FF,FF,FF,FF,
-1773298509156151,00000712,false,Rx,0,8,03,22,18,05,FF,FF,FF,FF,
-1773298508677127,00000712,false,Rx,0,8,03,22,18,05,FF,FF,FF,FF,
-1773298508200080,00000712,false,Rx,0,8,03,22,18,05,FF,FF,FF,FF,
-1773298507699085,00000712,false,Rx,0,8,03,22,18,05,FF,FF,FF,FF,
-1773298507223985,00000712,false,Rx,0,8,03,22,18,05,FF,FF,FF,FF,
-1773298506738965,00000712,false,Rx,0,8,03,22,18,05,FF,FF,FF,FF,
-1773298506260877,00000712,false,Rx,0,8,03,22,18,05,FF,FF,FF,FF,
-1773298505806846,00000712,false,Rx,0,8,03,22,18,05,FF,FF,FF,FF,
-1773298505320743,00000712,false,Rx,0,8,03,22,18,05,FF,FF,FF,FF,
-1773298504879734,00000712,false,Rx,0,8,03,22,18,05,FF,FF,FF,FF,
-1773298504431728,00000712,false,Rx,0,8,03,22,18,05,FF,FF,FF,FF,
-1773298503956618,00000712,false,Rx,0,8,03,22,18,05,FF,FF,FF,FF,
-1773298503460621,00000712,false,Rx,0,8,03,22,18,05,FF,FF,FF,FF,
